timestamp,agent,agent_id,rule_id,level,groups,decoder,location,src_ip,mitre_ids,mitre_tactics,mitre_techniques,description,full_log,suspicious,suspicious_reason
2026-04-02T08:55:28.413+0000,wazuh-server,000,5715,3,"syslog, sshd, authentication_success",sshd,journald,192.168.30.14,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services",sshd: authentication success.,Apr 02 08:55:26 wazuh-server sshd[43582]: Accepted password for root from 192.168.30.14 port 12601 ssh2,True,"mitre, srcip"
2026-04-02T08:55:28.413+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 08:55:26 wazuh-server (systemd)[43590]: pam_unix(systemd-user:session): session opened for user root(uid=0) by (uid=0),True,mitre
2026-04-02T08:55:28.414+0000,wazuh-server,000,5501,3,"pam, syslog, authentication_success",pam,journald,-,T1078,"Defense Evasion, Persistence, Privilege Escalation, Initial Access",Valid Accounts,PAM: Login session opened.,Apr 02 08:55:27 wazuh-server sshd[43582]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),True,mitre
2026-04-02T08:55:32.820+0000,WS10,005,92213,15,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1105,Command and Control,Ingress Tool Transfer,Executable file dropped in folder commonly used by malware,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:55:29.5524102Z"",""eventRecordID"":""500452"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: -\r\nUtcTime: 2026-04-02 08:55:29.532\r\nProcessGuid: {d9a99926-2f01-69ce-c60f-000000000600}\r\nProcessId: 7012\r\nImage: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\r\nTargetFilename: C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_i5g003ox.2t3.ps1\r\nCreationUtcTime: 2026-04-02 08:55:29.532\r\nUser: WS10\\Administrator\""""},""eventdata"":{""utcTime"":""2026-04-02 08:55:29.532"",""processGuid"":""{d9a99926-2f01-69ce-c60f-000000000600}"",""processId"":""7012"",""image"":""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"",""targetFilename"":""C:\\\\Users\\\\Administrator\\\\AppData\\\\Local\\\\Temp\\\\__PSScriptPolicyTest_i5g003ox.2t3.ps1"",""creationUtcTime"":""2026-04-02 08:55:29.532"",""user"":""WS10\\\\Administrator""}}}",True,"group:sysmon, group:windows, keyword:powershell, keyword:sysmon, level>=5, mitre"
2026-04-02T08:55:35.449+0000,WS10,005,92213,15,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1105,Command and Control,Ingress Tool Transfer,Executable file dropped in folder commonly used by malware,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:55:29.6940758Z"",""eventRecordID"":""500601"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: -\r\nUtcTime: 2026-04-02 08:55:29.688\r\nProcessGuid: {d9a99926-2f01-69ce-c70f-000000000600}\r\nProcessId: 7276\r\nImage: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\r\nTargetFilename: C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_bz0f0pyw.ydy.ps1\r\nCreationUtcTime: 2026-04-02 08:55:29.688\r\nUser: WS10\\Administrator\""""},""eventdata"":{""utcTime"":""2026-04-02 08:55:29.688"",""processGuid"":""{d9a99926-2f01-69ce-c70f-000000000600}"",""processId"":""7276"",""image"":""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"",""targetFilename"":""C:\\\\Users\\\\Administrator\\\\AppData\\\\Local\\\\Temp\\\\__PSScriptPolicyTest_bz0f0pyw.ydy.ps1"",""creationUtcTime"":""2026-04-02 08:55:29.688"",""user"":""WS10\\\\Administrator""}}}",True,"group:sysmon, group:windows, keyword:powershell, keyword:sysmon, level>=5, mitre"
2026-04-02T08:55:36.542+0000,WS10,005,92213,15,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1105,Command and Control,Ingress Tool Transfer,Executable file dropped in folder commonly used by malware,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:55:30.0357638Z"",""eventRecordID"":""500661"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: -\r\nUtcTime: 2026-04-02 08:55:30.015\r\nProcessGuid: {d9a99926-2f01-69ce-c80f-000000000600}\r\nProcessId: 8792\r\nImage: C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\r\nTargetFilename: C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_umkera24.32y.ps1\r\nCreationUtcTime: 2026-04-02 08:55:30.015\r\nUser: WS10\\Administrator\""""},""eventdata"":{""utcTime"":""2026-04-02 08:55:30.015"",""processGuid"":""{d9a99926-2f01-69ce-c80f-000000000600}"",""processId"":""8792"",""image"":""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"",""targetFilename"":""C:\\\\Users\\\\Administrator\\\\AppData\\\\Local\\\\Temp\\\\__PSScriptPolicyTest_umkera24.32y.ps1"",""creationUtcTime"":""2026-04-02 08:55:30.015"",""user"":""WS10\\\\Administrator""}}}",True,"group:sysmon, group:windows, keyword:powershell, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.218+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.7742499Z"",""eventRecordID"":""501411"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.760\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\UpdateAgent.dll\r\nCreationUtcTime: 2025-11-05 16:00:44.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.760"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\UpdateAgent.dll"",""creationUtcTime"":""2025-11-05 16:00:44.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.233+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.7951820Z"",""eventRecordID"":""501412"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.791\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\dpx.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.791"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\dpx.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.249+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8061015Z"",""eventRecordID"":""501413"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.791\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\Mitigation.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.791"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\Mitigation.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
2026-04-02T08:59:32.264+0000,WS10,005,92217,6,"sysmon, sysmon_eid11_detections, windows",windows_eventchannel,EventChannel,-,T1570,Lateral Movement,Lateral Tool Transfer,Executable dropped in Windows root folder,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""11"",""version"":""2"",""level"":""4"",""task"":""11"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2026-04-02T08:59:30.8061468Z"",""eventRecordID"":""501414"",""processID"":""7940"",""threadID"":""8064"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""WS10"",""severityValue"":""INFORMATION"",""message"":""\""File created:\r\nRuleName: DLL\r\nUtcTime: 2026-04-02 08:59:30.791\r\nProcessGuid: {d9a99926-2ff2-69ce-cc0f-000000000600}\r\nProcessId: 4328\r\nImage: C:\\Windows\\System32\\mousocoreworker.exe\r\nTargetFilename: C:\\Windows\\SoftwareDistribution\\Download\\0e81198876b8eb725cd93d1816536732\\Metadata\\UAOneSettings.dll\r\nCreationUtcTime: 2025-11-05 16:00:42.000\r\nUser: NT AUTHORITY\\SYSTEM\""""},""eventdata"":{""ruleName"":""DLL"",""utcTime"":""2026-04-02 08:59:30.791"",""processGuid"":""{d9a99926-2ff2-69ce-cc0f-000000000600}"",""processId"":""4328"",""image"":""C:\\\\Windows\\\\System32\\\\mousocoreworker.exe"",""targetFilename"":""C:\\\\Windows\\\\SoftwareDistribution\\\\Download\\\\0e81198876b8eb725cd93d1816536732\\\\Metadata\\\\UAOneSettings.dll"",""creationUtcTime"":""2025-11-05 16:00:42.000"",""user"":""NT AUTHORITY\\\\SYSTEM""}}}",True,"group:sysmon, group:windows, keyword:sysmon, level>=5, mitre"
